最新免笔试筛选方法,附件,超链接,截止日期,公告链接,招聘类型,备注,公司行业,是否免笔试,投递链接,标记,公司,工作地点,内推码,岗位,更新时间,父记录
,,,招满即停,https://jsfilm.zhaopin.com/zk/#/notice_new?prantMenuid=0cf9c3a1a2c5049389384f8f771dc09a,26届秋招,江苏省电影集团招聘5名，至2025年12月12日,国央企,含免笔试,https://jsfilm.zhaopin.com/zk/#/join-online?prantMenuid=ca283e7b9a367ed7a1842d3c7e147fec,,江苏省电影集团,南京,,市场营销 宣传策划 管培生 制片岗（相关专业：影视制片、电影学、戏剧与影视学、新闻传播学、中文、市场营销、工商管理、数字媒体技术、法学、财务会计、经济、金融等相关专业）,2025-11-30,
,,,招满即停,https://mp.weixin.qq.com/s/WlyUhUWxTinLJvo7Uj2-3g?scene=1&click_id=11,26届秋招,华正新材有五险一金，免费食宿，杭州政府补贴，节日福利，人才培训，双休，弹性打卡,科技,含免笔试,https://v.wjx.cn/vm/w7zLS0u.aspx,,华正新材,扬州 | 杭州 | 珠海,,储备干部（专业不限，化工、材料类等相关专业优先） 研发工程师（材料类、化工类） 制造工程师（材料类、机械类、信息化、数据分析类） 工艺工程师（材料类、化工类） 设备工程师（机械类） 品质工程师（材料类、质量管理类） 销售工程师（国际经济与贸易类、市场营销类） 技术服务工程师（材料类、化工类）,2025-11-26,
,,,招满即停,https://mp.weixin.qq.com/s/WRa2lO8XwooC0wYVl3SpWw,26届秋招,炬旺科技有五险一金，员工保障，定期团结，食宿免费，荣誉激励，人才培养,互联网,含免笔试,https://mp.weixin.qq.com/s/WRa2lO8XwooC0wYVl3SpWw,,炬旺科技,粤港澳大湾区,,管培生（营销类、财务类）、产品文员、商城运营专员、人力资源专员、行政专员、平面设计助理,2025-11-26,
,,,招满即停,https://mp.weixin.qq.com/s/m0DdBUvIb0FWn2nILn-cvQ,26届秋招,韶音科技-营销岗补录招聘4类，免笔试,科技,含免笔试,https://app.mokahr.com/campus-recruitment/aftershokzhr/36940#/jobs?commitment=&zhineng0=71813&zhineng1=161073&zhineng2=168403&zhineng3=161074&zhineng4=150584&zhineng5=152603&zhineng6=150585&depar,,韶音科技-营销岗补录,深圳,,渠道销售类、电商运营类、品牌管理类、数据分析类,2025-11-24,
,,,招满即停,https://mp.weixin.qq.com/s/Vpgf9Kt65ab_dnAFa0sHzw,26届秋招,依科赛生物有五险一金，年终奖金，项目奖金等多种奖金，人才落户等政策支持，多种福利补贴，员工活动,生物医药,含免笔试,https://mp.weixin.qq.com/s/Vpgf9Kt65ab_dnAFa0sHzw,,依科赛生物,上海 | 北京 | 苏州太仓 | 广州 | 深圳 | 香港 | 乌拉圭,,研发、市场、销售、技术、生产、质控及西班牙语外贸管培生,2025-11-21,
,,,招满即停,http://mp.weixin.qq.com/s?__biz=MzI5NTIyMjUyNQ==&mid=2247486322&idx=1&sn=403315e90e66d7783a013d6e1c0b5dae&chksm=ec57a6e0db202ff63f2000cccbe0ecffb4567647b947ec282a5fe60c1fc0e2c94e8cc51f51f1#rd,26届秋招,以岭药业有五险一金，带薪假期，年度体检，节假日福利,生物医药,含免笔试,http://mp.weixin.qq.com/s?__biz=MzI5NTIyMjUyNQ==&mid=2247486322&idx=1&sn=403315e90e66d7783a013d6e1c0b5dae&chksm=ec57a6e0db202ff63f2000cccbe0ecffb4567647b947ec282a5fe60c1fc0e2c94e8cc51f51f1#rd,,以岭药业,石家庄,,医药代表（医学、药学及相关专业） 产品经理助理（医学、药学及相关专业） 品牌传播专员（医学、药学及相关专业） 渠道运营助理（医学、药学及相关专业） 临床医学研究员（临床医学、临床药学、临床药理） 中药研究员（中药学药剂和工艺方向、中医学） 化药研究员（药物化学、药物分析、药学制剂、有机化学等相关专业） 市场准入专员/助理（药学相关专业、管理类相关专业） 产品专员（临床医学本科及以上、药学专业硕士及以上） 工艺员（药学系制剂专业） 管培生（中药学、中草药栽培与鉴定、药用植物栽培、中药学、中药材资源学等专业） 中药材采购专员（中药学、中草药栽培与鉴定、药用植物栽培、中药学、中药材资源学等专业） 技术员（药学、农学、食品工程、生物学等相关专业）,2025-11-11,
,,,招满即停,https://mp.weixin.qq.com/s/1nnjtpbY3gupUaePSStXug,26届秋招,耀华建设有高薪资，年终奖，成长支持，团队氛围好,建筑,含免笔试,https://www.unicysk.com/yh-mobile/#/,,耀华建设,杭州,,人力资源专员，行政专员，财务专员（专业要求:人力资源管理，行政管理，会计学等） 监理工程师助理，造价工程师助理， 设计工程师（专业要求:土木工程，工程管理，建筑学，工程造价等） 可行性研究专员，招投标专员（专业要求:工程管理，市场营销，法学等）,2025-11-02,
,,,26.8.15,https://mp.weixin.qq.com/s/flo1YzBY-DNo5Xn_hEVG7g,实习,学而思有福利晚餐，多种团建，团队氛围好，基础设施全,教育,含免笔试,https://yach-doc-shimo.zhiyinlou.com/forms/DYCBSVJDdaOQQAH0/fill,,学而思,北京,,IP主讲实习生 教研实习生 教学实习生 学科策略实习生,2025-12-16,
,,,招满即停,https://mp.weixin.qq.com/s/4_RLiQJZjbNaKrMKJcHwCQ,春招,宝龙地产职业发展清晰，晋升快,建筑,含免笔试,https://mp.weixin.qq.com/s/4_RLiQJZjbNaKrMKJcHwCQ,,宝龙地产,上海 | 江苏 | 浙江 | 福建 | 安徽 | 广东 | 山东 | 河南 | 江西,,成本管理、运营管理、营销管理、财务管理、人力资源,2026-01-14,
,,,招满即停,https://mp.weixin.qq.com/s/ziKm-Ws3W-6HJEsTRd2IlQ,春招,华润五丰有多元岗位，三年培养，招聘本科及以上学历,国央企 | 农业,含免笔试,https://nfh.hotjob.cn/,,华润五丰,深圳 | 赣州 | 上海 | 香港 | 全国各地,,销售类、研发类、运营类、职能类,2026-01-06,
,,,招满即停,https://mp.weixin.qq.com/s/yqNOVAgRsBjRoK7aSEI0bw,秋招补录,潍坊新东方-研后专场有五险一金，做五休二，带薪年假，年度体检，人才补助,教育,含免笔试,https://www.wjx.top/vm/wAYlSjG.aspx,,潍坊新东方-研后专场,潍坊,,教师岗 运营岗 实习岗（应届生应聘不限专业/教资/经验）,2025-12-25,
,,,招满即停,http://mp.weixin.qq.com/s/FX9AecPH9MXh-PgXKNBsTg,26届秋招,,其他,含免笔试,http://mp.weixin.qq.com/s/FX9AecPH9MXh-PgXKNBsTg,,古田化工,天津 | 沈阳 | 南京 | 宁波 | 福州 | 武汉 | 广州,,销售工程岗（化学相关专业） 销售工程岗（韩语方向） 产品管理岗（生化环材等化学相关专业） 产品开发工程岗（表面活性剂相关）（表面活性剂/胶体化学相关专业或课题）,2025-12-21,
,,,招满即停,https://mp.weixin.qq.com/s/tEJ3lfaiqr5lYn5PzhQKLQ,26届秋招,洛阳格力有五险一金，双休，带薪假期，多种补贴，定期体检，职业发展双通道,制造业,含免笔试,https://www.wjx.top/vm/eq4d0wT.aspx,,洛阳格力,洛阳,,生产管理类、财务管理类、IT技术类、质量管理类、IE技术类、人力资源管理类,2025-12-15,
,,,招满即停,http://mp.weixin.qq.com/s?__biz=Mzk2NDcyOTM3Ng==&mid=2247484134&idx=1&sn=1edd8869ee5db5f548e5a9ee8396e64a&chksm=c46e4da9f319c4bfec4f4ea47cb0986b3b5f1d2f1c936b75cadbf2c78f3464bd250cddb6143d#rd,26届秋招,,科技,含免笔试,https://hkaco.zhiye.com/campus/jobs,,虹科,北京 | 上海 | 苏州 | 广州 | 成都 | 西安 | 全国各地,,自动驾驶仿真工程师，自动驾驶数据工程师，网络安全工程师，信息安全工程师，数据库工程师，AR 技术应用工程师，AI 工程师，FPGA 工程师，嵌入式开发工程师，汽车电子解决方案工程师，汽车硬件开发工程师，汽车技术传播工程师，机器视觉技术传播工程师，生物技术解决方案工程师，低空经济应用工程师，法务专员，采购专员，资金管理，财务 - 定价与分析方向，总经理助理，行政专员，培训运营，活动营销，UI/UX 设计师，平面设计师,2025-12-03,
,,,招满即停,https://mp.weixin.qq.com/s/0UobJtKL70v7SE9YC_Ed_w,秋招补录,星火教育有竞争力薪资，五险一金，多次调薪机会，员工体检，培训机制,教育,含免笔试,https://mp.weixin.qq.com/s/0UobJtKL70v7SE9YC_Ed_w,,星火教育,广州,,精品课堂管培生、授课老师、学科/社群/新媒体运营岗、教师产品研发岗、教学管理岗、师资选聘岗,2025-12-01,
,,,招满即停,https://mp.weixin.qq.com/s/zZpCBADGDlDhUtF2hSdO8A?scene=1,春招,兴华基金长期实习可留用，有实习津贴,金融,含免笔试,https://mp.weixin.qq.com/s/zZpCBADGDlDhUtF2hSdO8A?scene=1,,兴华基金,青岛,,交易管理部交易员助理;监察稽核部合规助理;品牌管理部品牌经理助理实习生,2026-01-14,
,,,26.1.31,https://mp.weixin.qq.com/s/gjhigUg4BClxNtlHuRRu4Q,春招,赛默飞 PPD招聘医药类相关专业，投递截至 2026 年 1 月 31 日,外企 | 生物医药,含免笔试,https://www.moseeker.com/position/index/pid/3376610?wechat_signature=MzA5MGUzMTJjYzIwMDMxYmJiZmJjN2RiNWQ0YzU4NGQ5ZmMzNDY0OA%3D%3D,,赛默飞,北京 | 上海 | 广州,,培训生：临床监测员 CRA (Onsite / In-house)、临床试验协调员 CTC、临床启动专员 SSU、其他临床运营相关岗位,2026-01-06,
,,,26.8.1,https://mp.weixin.qq.com/s/AdZIZH2_XbfVKEgeRYKqUw,26届秋招,微应招聘6类多种岗位，报名截止到2026年8月,咨询法律,含免笔试,👈详情见公告,,微应,广东,,"技术类:
软件开发、技术研究、AI技术运营、安全技术
产品类:
产品经理培训生、产品策划/运营、微信支付商户号产品经理、终端合约产品经理、京东产品运营、平台型产 早经理",2025-12-27,
,,,招满即停,https://mp.weixin.qq.com/s?__biz=MzU3MDU5NTA4Mg==&mid=2247501682&idx=2&sn=dd9fedc5e8a601e90d80aa7396f42b39&chksm=fcef8517cb980c0160ab4f369d7a92824bb0dd21bb6f0417bce4d61605ee9c3a788074c558f2#rd,实习,腾讯子公司-合肥招聘有五险一金，带薪年假，补充商业险，年度体检，多种假期，员工关怀,互联网,含免笔试,https://mp.weixin.qq.com/s?__biz=MzU3MDU5NTA4Mg==&mid=2247501682&idx=2&sn=dd9fedc5e8a601e90d80aa7396f42b39&chksm=fcef8517cb980c0160ab4f369d7a92824bb0dd21bb6f0417bce4d61605ee9c3a788074c558f2#rd,,腾讯子公司-合肥招聘,合肥,,智能用户服务专员（不限专业，计算机、数理、软件工程、通信、电子、自动化等专业优先）,2025-12-10,
,,,招满即停,http://mp.weixin.qq.com/s?__biz=MzkwOTEwNTQxNg==&mid=2247497854&idx=1&sn=3ce141612094e8ce1a975ce4afa2aebc&chksm=c13d7819f64af10f0c78fb9069e749205456ed80b058399d1132e52fd91f2d0b7b3f54f6e0b2#rd,26届秋招,图拉斯-运营岗冲刺倒计时有竞争力薪资，五险一金，奖金，员工关怀，娱乐设施全，导师带教，晋升机制,快消零售,含免笔试,https://lanhevip.jobs.feishu.cn/201093/m/?spread=6YD8BVN,,图拉斯-运营岗冲刺倒计时,深圳,,运营岗 研发类 质量工程师 供应链-计划专员 供应链-采购专员 专利工程师 营销类 品牌营销专员 剪辑师 拍剪师 设计类 电商平面设计师 三维建模渲染师 海外运营管培生 亚马逊运营管培生-英语方向 亚马逊运营管培生-日语方向 国内运营管培生 天猫运营管培生 京东运营管培生 抖音运营管培生 拼多多运营管培生,2025-12-03,
,,,招满即停,https://mp.weixin.qq.com/s/SM293avphp1f1GOc8sR1og,26届秋招,,国央企,含免笔试,https://s19791.zhiye.com/campus/jobs,,深圳广播电影电视集团,北京 | 深圳,,主持人 导演 编导 记者 编辑 音乐编辑 摄影摄像 后期制作 新媒体运营 市场策划 算法工程师 大数据分析工程师 系统架构师,2025-11-21,
,,,招满即停,https://mp.weixin.qq.com/s/dEi3-Tp2A-rucXPp3FFqfA,26届秋招,华策集团招聘多个岗位，多个城市工作地点,其他,含免笔试,https://mp.weixin.qq.com/s/dEi3-Tp2A-rucXPp3FFqfA,,华策集团,杭州 | 北京 | 上海 | 海外,,文学营销、AI内容创意制作、国际视频内容运营、国际合作助理、品牌营销、董事长办公室/总裁办公室助理、财务助理、人力资源助理、业务助理,2025-11-18,
,,,26.6.30,http://mp.weixin.qq.com/s?__biz=MzI0Mjk2NDM0NQ==&mid=2247514882&idx=1&sn=32a9f819a82a7c84350a97f875d3cc1e&chksm=e976b914de01300288755b35aa7cb6762bf8c421c0b77b46fb90e0a84b2e0a4277884d78c3a1#rd,26届秋招,乐舒适有五险一金，商业保险，海外生活保障，员工福利,快消零售,含免笔试,https://www.liepin.com/company/21140005/,,乐舒适,广州,,海外销售储备 财务储备 融资储备 审计储备 公关储备 计划储备 采购储备 仓储储备 运输储备 国内船务储备 环境安全储备 品质安全储备 快消生产管理储备 进出口储备,2025-11-12,
,,,招满即停,https://mp.weixin.qq.com/s/78dd4T77IjrYCLoQqoTIhQ,秋招补录,拼多多-研后专场有多个工作地点，截止招聘到2026年1月31日,互联网,含免笔试,https://careers.pddglobalhr.com/campus,,拼多多-研后专场,上海 | 深圳 | 全国各地,,服务端研发工程师、客户端研发工程师、Web前端研发工程师、算法工程师、数据分析师、安全工程师、产品经理、用户运营、人力资源专员、公共关系、商务管理、供应链管理等,2026-01-07,
,,,招满即停,https://mp.weixin.qq.com/s/9rYnK388_bHAD-lnnuTF2Q,秋招补录,帆软-研后专场有高薪资，招聘本科及以上学历,互联网,含免笔试,https://join.fanruan.com/campus?utm_source=media&utm_medium=weixin,,帆软-研后专场,北京 | 呼和浩特 | 南京 | 无锡 | 杭州 | 南昌 | 武汉 | 长沙 | 乌鲁木齐,,产品运营、产品经理、用户体验设计师、销售工程师、项目经理 (财务方向)、战略生态、海外市场运营 (日文),2025-12-23,
,,,招满即停,https://mp.weixin.qq.com/s/KTfNRkm2USFljh4ceYxhag?scene=1&click_id=1,26届秋招,抚顺新钢铁有人才补贴，高薪资，安家费，节假日福利，五险一金，娱乐设施,国央企,含免笔试,https://mp.weixin.qq.com/s/KTfNRkm2USFljh4ceYxhag?scene=1&click_id=1,,抚顺新钢铁,抚顺,,烧结工程师 炼铁工程师 炼钢工程师 轧钢工程师 机械工程师 电气工程师 能源工程师 财务管理师 安全工程师 采购业务经理 海外客户经理 经济与贸易类，经济贸易类，国际经济与贸易，国际贸易学，阿拉伯语语言文学，西班牙语语言文学，英语语言文学,2025-12-04,
,,,招满即停,https://mp.weixin.qq.com/s/zGas0SWG5HNW7hq-LdmnfQ,26届秋招,,其他,含免笔试,https://mp.weixin.qq.com/s/zGas0SWG5HNW7hq-LdmnfQ,,五江集团,长沙,,储备培养类、职能管理类、策划创意类、服务运营类、创意设计类、演艺演出类、研学类,2025-11-27,
,,,招满即停,http://mp.weixin.qq.com/s/zpPvbSpXCJOh4MWc1U6wYA,26届秋招,新希望六和工作地点遍布海内外，免笔试,其他,含免笔试,https://newhope.zhiye.com/campus,,新希望六和,全国各地 | 海外,,采购岗（国际贸易、英语、供应链、物流等相关专业）水产配方岗（水产动物营养与饲料科学等相关专业）销售岗（水产养殖、畜牧兽医等相关专业）兽医岗（兽医学、动物医学相关专业）配方岗(畜禽/水产/反刍)（动物营养、水产养殖等相关专业）采购岗（动物营养、化学化工、供应链管理、物流管理等）饲料销售岗（畜牧兽医、动科、动医、水产、市场营销等）水产技术服务（水产养殖、渔业、市场营销等）,2025-11-23,
,,,12.7,http://mp.weixin.qq.com/s?__biz=MzIzMTE5ODA4Nw==&mid=2651393957&idx=3&sn=5ee3e43e3c221edac9f771c1e4f7b501&chksm=f35a734dc42dfa5bbfb1e0a0d1e45e41016713d4285870e10cf9ddc50bf205c4242a6623d78f#rd,26届秋招,福建投资集团有14家岗位招聘，招聘126人，多种岗位,国央企,含免笔试,https://www.fidc.com.cn:3001/2025-autumn-school/job,,福建投资集团,福州 | 莆田 | 泉州 | 漳州 | 南平 | 龙岩,,综合管理岗 机要文秘岗 行政文秘岗 党务纪检岗 党务管理岗 党建管理岗 党务宣传岗 纪检监察岗 人力资源岗 法务合同岗 出纳岗 业务管理岗 风险管理岗 货权及风险管理岗 业务审查岗 审计岗 项目管理岗 电力市场交易专员 值班员 检修员 运检员 生产人员（机械方向） 生产人员（电一方向） 生产人员（电二方向） 生产人员（水工水文方向） 安全管理岗 概预算/合同与统计岗 土建管理岗 合同管理岗 物资采办岗 工程采办岗 集控运行值班员 科技研发岗（海洋方向） 科技研发岗（自动化方向） 装备管理岗 信息管理岗 JAVA工程师 初级UI设计师 中级UI设计师 测试工程师,2025-11-16,
,,,招满即停,https://mp.weixin.qq.com/s/c_BD8CfrSElvlHfqi038tw,26届秋招,昭关照明WELLMAX有节假日生日福利，免笔试，多通道发展，人才培养,半导体,含免笔试,https://app.mokahr.com/social-recruitment/wellmax/146179?locale=zh-CN#/jobs,,昭关照明WELLMAX,上海,,国际业务开发(储备)，供应链工程师(储备),2025-11-07,
,,,招满即停,http://mp.weixin.qq.com/s/HRih3wFSjolC8Q69wZy4Yg,26届秋招,东鹏饮料有五险一金，带薪年假，双薪奖金，工会福利，团建,快消零售,含免笔试,https://xym.51job.com/wechat/vuectmjobs/#/index?id=0CF34FB3-3A63-4A6F-A2A2-4D2025CED50C&color=31BE88&prd=yddzy,,东鹏饮料,天津 | 衢州 | 滁州 | 长沙 | 广州 | 东莞 | 中山 | 重庆 | 昆明 | 全国各地 | 海外,,储备干部 机电 质量 研发 销售运营 生产 物流 财务 供应链运营 管培生 国际 机电 质量 物流,2025-11-02,
,,,26.1.15,https://mp.weixin.qq.com/s/zb3jnhgEBx4Zi9EcXns8vw,春招,,金融 | 国央企,含免笔试,https://cncc-recruit3.zhiye.com/campus/jobs,,深圳金融电子结算中心有限公司,深圳,,应用系统运营工程师、运营管理岗、财务管理岗、行政办公岗,2026-01-07,
,,,招满即停,https://mp.weixin.qq.com/s/zGas0SWG5HNW7hq-LdmnfQ,26届秋招,新疆五江文旅投资集团有五险，多种奖金，节假日福利，多种补贴，超多假期，奖励提成,其他,含免笔试,https://mp.weixin.qq.com/s/zGas0SWG5HNW7hq-LdmnfQ,,新疆五江文旅投资集团,全国各地,,管培生（运营 / 品牌 / 产品方向） 总裁办专员 文旅、体育赛事策划 旅游产品策划 活动创意专员 节目策划、演艺策划 研学导师（旅游管理、文化产业管理、市场营销、语言文学、活动策划、会展经济与管理、艺术表演、播音主持、师范等相关专业）,2025-11-26,
,,,招满即停,https://mp.weixin.qq.com/s/M4HCshTxLX4eaDycQLYhYQ,实习,,生物医药,含免笔试,https://mp.weixin.qq.com/s/M4HCshTxLX4eaDycQLYhYQ,,亦度生物,北京,,财务实习生（财务、会计等）、战略发展实习生（生物制药、生物工程）、人力行政实习生（人力资源、心理学、生物学、药学）,2025-12-21,
,,,招满即停,https://mp.weixin.qq.com/s/EzJvV4lwgcf7HsbP2KhY9g,26届秋招,世茂服务招聘7类岗位，本科及以上学历，专业不限,建筑,含免笔试,https://mp.weixin.qq.com/s/EzJvV4lwgcf7HsbP2KhY9g,,世茂服务,全国各地,,市场投资类 品质管控类 业务运营类 人力资源类 客服管家类 工程维修类 环境管理类（不限专业）,2025-12-22,
,,,招满即停,https://mp.weixin.qq.com/s/5PVT4bu5cTQEXYo_pKi-Vw,秋招补录,新东方合肥有五险一金，带薪年假，福利礼金，餐费补贴，年度体检,教育,含免笔试,https://mp.weixin.qq.com/s/5PVT4bu5cTQEXYo_pKi-Vw,,新东方合肥,合肥 | 芜湖,,教师岗、运营岗,2025-12-16,
,,,招满即停,https://mp.weixin.qq.com/s?__biz=MzAwMzM2Nzk4Mw==&mid=2659705825&idx=1&sn=ce0df4de5cf164efa8eb07a1582737dc&chksm=804f76a1b738ffb7bd5765ae59f12c6c4e571ae24458ebd9912dc9d77c5bc3866d23987dc755#rd,26届秋招,埃森哲有定制化培养体系，免笔试,外企,含免笔试,https://careersite.tupu360.com/accentureats/position/index?recruitmentType=CAMPUSRECRUITMENT&jobCategory=,,埃森哲,大连 | 成都,,未来精英人才孵化计划（财务/人力资源相关专业毕业生）,2025-11-30,
,,,招满即停,https://mp.weixin.qq.com/s/6r7CV7zIKsEsZXbNAp4pnA,26届秋招,,汽车新能源,含免笔试,https://chinacamel1.zhiye.com/Campus/jobs,,骆驼集团,武汉 | 襄阳 | 海外,,"采购管理、会计、IT开发、品牌管理、人事（海外）、运营管理、客户质量/服务、业务经理（专业相关：理工科, 财经类院校会计, 财务管理, 计算机科学, 人工智能, 数据科学, 平面设计, 人力资源, 国际贸易, 英语, 理工类, 统计类, 电子, 电池, 汽车, 机电, 阿拉伯语, 泰语, 西班牙语）",2025-11-27,
,,,招满即停,https://mp.weixin.qq.com/s/AO77f0LpYJ4-n7h2Iws4_g,26届秋招,,外企 | 快消零售,含免笔试,https://xyz.51job.com/consumer/pc/home/index?ctmid=9056379,,利洁时,太仓 | 青岛,,供应链管理培训生 自动化设备管理方向 生产团队管理方向 质量/技术类方向 供应链管理方向 工程项目管理方向（拥有机械/电气/自动化/工业工程/化学/供应链管理等专业背景）,2025-11-19,
,,,招满即停,https://mp.weixin.qq.com/s/G8CIn7v_-hU6Q-uax9hvTg,26届秋招,,互联网,含免笔试,https://careers.shein.cn/All-Jobs?jobTypeId=CAMPUS,,SHEIN,上海 | 南京 | 广州 | 深圳 | 肇庆,,供应链管理管培生(履约交付方向) 供应链管理管培生(面料方向) 服装设计师(童装) 服装质量工程师 供应商管理专员(服装全品类) 商品质量管理专员 APP研发工程师 Java工程师(用户增长) Java工程师(营销) Java工程师(交易支付) 后台开发工程师(架构) C++开发工程师(推荐方向),2025-11-27,
,,,招满即停,https://mp.weixin.qq.com/s/0Kj1-ucS8dBbOJ87hs_z8w,26届秋招,创想三维招聘5类，40多个岗位,制造业,含免笔试,https://creality.zhiye.com/campus/jobs,,创想三维,深圳 | 惠州,,研发类：嵌入式软件/硬件/结构/算法/测试/工业设计； 销售类：海外销售/电商运营/销售运营； 技术类：PE/PQE/SQE； 市场类：社媒运营/主播等； 职能类：IT前端/数据合规/客服/中央计划/企划助理等,2025-12-08,
,,,招满即停,https://www.cqrc.net/gzw/index/postitem-25593.html,26届秋招,重庆市地质矿产勘查开发集团招聘46人，按企业招聘岗位制度薪资待遇,国央企,含免笔试,https://www.cqrc.net/gzw/index/enteritem-108977.html,,重庆市地质矿产勘查开发集团,重庆,,"地灾防治岗 矿产勘查岗 钻探工程技术岗 水文地质岗 勘查技术岗 岩土工程勘察岗 地灾防治岗 自然资源调查监测技术岗 “地质+”研发工程师岗 地灾防治岗 资源勘查技术岗 物探勘查岗 水利检测岗 环保咨询技术岗 遥感技术科研岗 油气地质综合研究岗 油气开发工程技术岗 国土空间规划技术岗 土地整治技术岗 生态修复与工程技术岗 矿产勘查技术岗 矿业工程技术岗 工程技术综合岗（地质工程，岩土工程，地质学，水文与水资源工程，勘查技术与工程类相关专业 地质学，矿物学、岩石学、矿床学，构造地质学，地质资源与地质工程，资源勘查工程，矿产普查与勘探类相关专业 地质资源与地质工程，资源勘查工程，地质工程，勘查技术与工程，矿产普查与勘探，矿业工程，石油工程类相关专业 水文学及水资源，水文与水资源工程，地下水科学与工程，水利科学与工程，水文地质，水质科学与技术，土木水利，地质资源与地质工程，地质工程类相关专业 地质工程等相关专业 人工环境工程（含供热、通风、空调等）、地质资源与地质工程、岩土工程等相关专业 安全工程、水利水电工程等相关专业 测绘科学与技术，大地测量学与测量工程，摄影测量与遥感，土壤学，土地资源学，林学，林业，林业工程，森林工程等相关专业。 人工智能，大数据技术与工程，网络与信息安全、计算机技术，软件工程等相关专业。 地理学类、地质学类、地质资源与地质工程类、资源与环境类等相关专业。 矿业工程类、地质学类、地质资源与地质工程类、资源与环境类等相关专业。 地球物理学，固体地球物理学，地质学，地质工程，地质资源与地质工程，矿产普查与勘探，地球探测与信息技术专业等相关专业。 水利工程类、土木水利类、水利类、地球物理学类、机械工程类等相关专业。 生态修复类、环境保护类等相关专业。 计算机科学与技术、软件工程、电子信息、地理信息系统、测绘科学与技术等相关专业。 \""矿产普查与勘探、油气地质与勘查、地质资源与地质工程、资源与环境等相关专业。 \"" 石油工程、油气田开发工程、石油与天然气工程等相关专业。 城乡规划、地理学、地理信息系统、土地资源等相关专业。 农业水利、农业工程、水土保持、土地资源管理、地理学、风景园林等相关专业。 资源与环境类、水利工程类、农业工程类等相关专业。 矿业工程类、地质资源与地质工程类、土木水利类、地质类、岩土工程等相关专业。 矿业工程类、地质类、地质资源与地质工程类、建筑类等相关专业。 土木水利类、水利工程类、资源与环境类、岩土工程等相关专业）",2025-11-30,
,,,12.30,http://mp.weixin.qq.com/s/sO3y43LFEgH1fyaUjGi7-w,26届秋招,浩鲸科技有高年薪，五类岗位，多个工作地点，截止招聘到12.30,制造业,含免笔试,https://iwhalecloud1.zhiye.com/campus/jobs,,浩鲸科技,南京 | 福州 | 厦门 | 长沙 | 广州 | 西安,,Java开发工程师 C++开发工程师 后端开发工程师 前端开发工程师 GIS开发工程师 算法工程师 数据挖掘工程师 自然语言算法工程师 图像算法工程师 具身智能工程师 云安全工程师 云交付工程师 测试工程师 IT运维工程师 项目经理 云网交付工程师(海外出差) 国际交付工程师(海外出差) 全球销售管培生(海外出差) 财务专员 人力资源专员 销售管培生 商务技术助理,2025-11-30,
,,,招满即停,https://mp.weixin.qq.com/s/jh6m0vAHUdE7ZDTT_Z7RNw,26届秋招,,互联网,含免笔试,https://app.mokahr.com/m/campus-recruitment/fesco/98614#/home,,FESCO,北京,,管培生：营销方向（专业不限，管理学类、经济学类、法学类相关专业优先） 大客户运营方向（专业不限，管理学类、经济学类、法学类相关专业优先） 产品运营方向（专业不限，管理学类、经济学类、计算机科学与技术类、医学类、物流/供应链相关专业优先）,2025-11-14,
,,,招满即停,https://mp.weixin.qq.com/s/6voD9L774tCJYvgdefHf8Q,26届秋招,云康集团有竞争力薪资，六险一金，带薪年假，五天八小时制，培养机制，多种福利,生物医药,含免笔试,https://wecruit.hotjob.cn/SU61e0e24fbef57c796ed27ff3/pb/school.html,,云康集团,广州,,营销类(销售、产品、解决方案等) 病理医师类 实验室技术类 职能类（临床医学、临床病理学、病理学与病理生理学、医学、药学、生物学等相关专业）,2025-11-13,
,,,招满即停,https://mp.weixin.qq.com/s/9sRltJPr1dQ16AcLrE8wgA,26届秋招,翼鸥教育有六险一金，带薪年假，补贴奖金，海内外工作地点，免笔试,教育,含免笔试,https://eeo.zhiye.com/campus/jobs,,翼鸥教育,北京 | 上海 | 深圳 | 广州 | 杭州 | 成都 | 郑州 | 西安 | 海外,,产品类、软件研发类、算法研发类、硬件研发类、设计类、运营类、市场/营销类、职能类,2025-11-09,
,,,招满即停,https://mp.weixin.qq.com/s/5yhkCVUp4mttitLqPpN3TA,26届秋招,鑫荣懋集团有五险一金，丰富活动，节日福利，股权激励,农业,含免笔试,https://joywingmau.zhiye.com/campus/jobs,,鑫荣懋集团,深圳 | 北京 | 上海 | 郑州 | 嘉兴 | 广州 | 沈阳 | 全国各地,,管理培训生：销售管理与运营，国内采购，进出口商务，产品开发与统筹，东南亚采购,2025-10-29,
,,,招满即停,https://mp.weixin.qq.com/s/don2zhrB0bpSE_6pC2OZPg,春招,Inditex集团具有五险一金十三薪,外企 | 快消零售,含免笔试,https://mp.weixin.qq.com/s/don2zhrB0bpSE_6pC2OZPg,,Inditex集团,上海 | 北京 | 南京 | 苏州 | 天津 | 西安 | 深圳 | 广州 | 沈阳 | 济南 | 昆明 | 杭州 | 合肥 | 宁波 | 温州,,ZARA管培生 ZARA陈列经理 陈列主管 Massimo Dutti店长 HR ZARA副店长 ZARA店铺主管 顾客体验经理 ZARA Online Commercial-Menswear Trend Hunter 力资源实习生 Trend Hunter Intern Marketing Intern Digital Intern 电商实习生,2026-01-10,
