公司,父记录,招聘岗位,学历要求,是否笔试,专业要求,备注,工作地点,招聘届次,更新时间,企业类型,公告来源,开始时间,行业类别,截止时间,批次（暑期实习）,父记录 2,公告链接,是否笔试 (1),简历投递链接
四川蜀道智慧交通集团,,"工程助理岗,AI算法岗,工程管理岗,项目交付及测试工程师岗（交通工程、土木工程、自动化等工科类相关专业 大数据、人工智能、软件开发、信息工程等相关专业 工程造价、工程管理、土木工程、招投标相关专业 车......","本科, 硕士, 博士",/,/,/,成都,2026届 | 2025届 | 2024届,2026-02-25,央国企,,2026-02-25,国企,2026/2/28,春招,,公告,,投递
昆明醋酸纤维有限公司（二）,,线束操作工,"本科, 硕士, 博士",有笔试,/,/,昆明,2025届 | 2026届,2026-02-25,央国企,,2026-02-25,烟草制品/烟草制造业,2026/3/10,春招,,公告,,投递
新北洋,,"大模型算法工程师,数据挖掘算法工程师,电气工程师,PLC开发工程师,电气工艺工程师,嵌入式开发工程师,CAE仿真工程师,机械（钣金）工艺工程师,制冷工程师,涂装工艺工程师,PE工程师,业务经理（国内/......","本科, 硕士, 博士",无笔试(有评测),/,/,威海 | 海外,2026届,2026-03-05,民企,,2026-03-05,其他,招满为止,春招,,公告,,投递
电科华录,,研发岗位（研发工程师、软件开发场景算法工程师、电气工程师、算法工程师、硬件工程师）；设计类（策划储备、文学策划、技术设备人员）；职能类（财务专员、法务专员、证券专员、销售管培生、人力资源专员）；方案运维类（解决方案工程师、IT一线运维工程师、基础设施一线运维工程师）；运营类（内容策划运营、音乐版权运营、融媒体编辑）,"本科, 硕士, 博士",有笔试,/,/,北京 | 大连 | 天津,2026届,2026-01-07,央国企,,,通信/电子/半导体,2026-07-01,春招专场,,https://www.offerleida.com/detail?id=34714,,https://mp.weixin.qq.com/s/lQ8ytBUXb1MZc8KY6m-U-Q
泰康资产,,年金投资部实习生;夹层投资部实习生;基础设施股权投资一部实习生,"本科, 硕士, 博士",/,金融学、数学、计算机等相关专业,/,北京 | 全国多地,2026 | 2027 | 2028届,2026-01-03,民企,,,金融业,尽快投递,实习,,https://www.offerleida.com/detail?id=34526,,https://jobtaikang.zhiye.com/custom/zcshixi?hideAll=true
启明信息,,技术基因觉醒；创新力直接拉满；内容创作达人,"硕士, 博士",/,计算机/软件/电子信息/自动化/通信工程/数学等相关专业,名额有限，席位珍贵,长春,2025 | 2026届,2026-01-22,央国企,,,IT/互联网/游戏,2026-01-30,寒假实习,,https://www.offerleida.com/detail?id=35153,,https://v.wjx.cn/vm/QVl8VVC.aspx
优衣库,,优衣库经营管理培训生（专业不限）,"本科, 硕士, 博士",/,/,/,全国,2026届 | 2025届,2026-02-25,外企,,2026-02-25,消费 | 外企,2026/7/1,春招,,公告,,投递
福耀集团,,技术类 研发技术 质量管理 产品设计 工艺技术 工业工程 产品开发 设备技术 信息技术 职能类 商务销售 销售跟单 市场营销 计划管理 人力资源 采购管理 财务会计 环境安全 生产类 生产管理,"本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,天津 | 通辽 | 沈阳 | 本溪 | 长春 | 吉林 | 上海 | 苏州 | 合肥 | 福州 | 福清 | 厦门 | 郑州 | 荆门 | 广州 | 重庆 | 成都,2026届 | 2025届 | 2024届,2026-02-27,民企,,2026-02-27,其他 | 新能源,招满为止,春招,,公告,,投递
MOVA,,"算法工程师,嵌入式软件,电子硬件开发,结构工程师,人工智能图像生成,产品经理,市场营销,GTM,整合营销,社媒渠道运营,战略洞察,HRBP,工业设计,投融资","本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,北京 | 南京 | 苏州 | 广州 | 深圳 | 佛山,2026届 | 2025届 | 2024届,2026-03-03,民企,,2026-03-03,科技,2026/5/31,春招,,公告,,投递
中核四0四,,未提到具体岗位，专业需求为：核工程类、化学化工类、材料类、机械类、能源动力类、自动化类、土木工程类、计算机类、电气类、环境类、仪器类,"本科, 硕士, 博士",有笔试,/,/,嘉峪关,2026届,2026-03-05,央国企,,2026-03-05,国企,招满为止,春招,,公告,,投递
V·SOL 芯德科技,,嵌入式软件开发工程师 硬件开发工程师后端开发工程师网络测试工程师技术支持工程师(理工/外语方向),"本科, 硕士, 博士",部分岗位有笔试部分没有,/,/,广州,2026届,2026-03-11,民企,,2026-03-11,通信服务/电信运营,招满为止,春招,,公告,,投递
途游游戏,,产品策划类研发技术类发行营销类美术设计类职能用户类,"本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,北京上海广州深圳长沙香港,2026届,2026-03-05,民企,,2026-03-05,互联网/人工智能,招满为止,春招,,公告,,投递
麦科田医疗,,"算法工程师,嵌入式软件开发工程师,机械工程师,硬件工程师,系统工程师,需求工程师,设计转化工程师,耗材研发工程师,软件测试工程师,产品营销工程师,用户服务工程师,国内商务专员,国际商务专员,PE工程师......","本科, 硕士, 博士",部分岗位有笔试部分没有,/,/,北京 | 南京 | 常州 | 杭州 | 济南 | 深圳 | 成都,2026届,2026-03-05,民企,,2026-03-05,生物医药,招满为止,春招,,公告,,投递
中汽工程,,研发类工程设计类管理类;,"本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,天津苏州,2026届,2026-03-07,央国企,,2026-03-07,车企/汽车零部件,招满为止,春招,,公告,,投递
万时集团,,"外贸业务员,外贸业务跟单,外贸业务助理,小语种外贸业务员,外贸采购员,外贸采购助理,结构设计师,工业设计师,平面设计师,人事助理,跨境电商运营,运营管培生","本科, 硕士, 博士",有笔试,/,/,宁波,2026届,2026-03-12,民企,,2026-03-12,其他,招满为止,春招,,公告,,投递
沈阳新松机器人,,整机测试工程师 强化学习算法工程师嵌入式软件工程师 硬件工程师 系统集成工程师 机械仿真工程师机械设计工程师算法工程师 软件工程师 电气设计工程师,"本科, 硕士, 博士",有笔试,/,/,沈阳 上海,2026届,2026-03-13,民企,,2026-03-13,智能硬件/机器人,招满为止,春招,,公告,,投递
华泰财险,,"总公司管理培训生,分公司管理培训生（保险、金融、营销、经济、管理、信息科技、工程、运输、医疗健康）","本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,北京 | 石家庄 | 太原 | 上海 | 长沙 | 广州 | 深圳 | 成都 | 昆明 | 西安,2026届,2026-03-18,民企,,2026-03-18,银行/金融,招满为止,春招,,https://mp.weixin.qq.com/s/gJrQb7IDU7oj1RWu_-lBcA,,https://xyzp.51job.com/huataicaixian2026/
航景创新,,"结构工程师,总体工程师,强度工程师,气动工程师,硬件工程师,电气工程师,测试工程师,飞控算法工程师,总装工艺员,电装工艺员,研发助理,机加工艺员,复材工艺员,飞行操作工程师,空勤技师,机务技师,地勤技......","本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,北京 | 全国,2026届,2026-03-18,民企,,2026-03-18,科技,招满为止,春招,,https://mp.weixin.qq.com/s/eOTr8rXyNlUWka3YnAeqkQ,,https://mp.weixin.qq.com/s/eOTr8rXyNlUWka3YnAeqkQ
侨益股份,,国内管培生海外管培生商务专员客服专员船舶外勤 仓储物流专员粮油保管控货专员商务专员-俄语调度专员哈语客服专员-越南语,"本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,广州 | 东莞 | 湛江 | 茂名 | 长春 | 乌鲁木齐 | 钦州 | 俄罗斯-海參崴哈萨克斯越南-胡志明,2026届,2026-03-20,民企,,2026-03-20,交通运输/物流仓储,招满为止,春招,,https://mp.weixin.qq.com/s/kI5k9yFncuD9No6TATBTjw,,https://hw.ihr360.com/gateway/api/recruit-website/#/recruit/web/project/eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ7XCJjb21wYW55SWRcIjpcIjAxLTAzMDAzNjY5Nzk2ZDBlNGIwM2ZjYjZjMjg0ZGY5XCIsXCJ0eXBlXCI6XCJPZmZpY2lhbFByb2plY3RcIixcInByb2plY3RJZFwiOjg4NjQzNDA2MDg2NjcwMzM2MC
认养一头牛,,校园大使（牛厂人才推荐官，牛厂品牌宣传官，牛厂社群运营官，牛厂校园代言人）,"本科, 硕士, 博士",/,/,/,全国多地,2026 | 2027 | 2028届,2026-01-29,民企,,,农林牧渔,尽快投递,春招提前批,,https://www.offerleida.com/detail?id=35290,,https://ryytn.zhiye.com/intern/jobs?memory= | {}
宜州深通村镇银行,,综合柜员岗,"本科, 硕士, 博士",/,/,/,崇左 | 桂林 | 梧州 | 河池,2026届,2026-01-27,其他,,,金融业,尽快投递,春招专场,,https://www.offerleida.com/detail?id=35258,,https://wecruit.hotjob.cn/SU601ce262bef57c66a91d41fa/pb/school.html?postName=%E6%9D%91%E9%95%87
马山农商行,,寒假实习岗,"大专, 本科, 硕士, 博士",/,/,报名人员须对报名资料的真实性、完整性负责；报名期间保持通讯畅通；马山农商行有权根据招募需求及报名实际情况调整招募计划，并在法律允许范围内对本次招募工作享有最终解释权,南宁,2026 | 2027 | 2028届,2026-01-29,民企,,,金融业,2026-01-28,寒假实习,,https://www.offerleida.com/detail?id=35297,,投递邮箱： | msnshrlb@126.com
爱凡哲量化,,"量化策略研究员,量化开发工程师,股票高频算法实现,量化AI工程师,市场专员,产品运营,投资经理助理/交易员","本科, 硕士, 博士",/,/,/,上海 | 成都,2026届 | 2027届,2026-02-23,民企,,2026-02-23,银行/金融,招满为止,春招,,公告,,投递
韶音科技,,电子研究员(大健康)、研究院(声学器件)、用户研究(大健康)、光学工程师、电子工程师、APP开发工程师、嵌入式工程师、嵌入式开发工程师、传感器工程师、可穿戴产品材料工程师、项目管理培训生、专利工程师、......,"本科, 硕士, 博士",部分岗位有笔试部分没有,/,/,深圳,2026届,2026-02-26,民企,,2026-02-26,制造-数码产品,招满为止,春招,,公告,,投递
天耘科技,,"业务经理,电话销售,Unity开发工程师,安卓开发工程师,Linux运维工程师,产品专员,人力资源专员,SEO专员,视觉设计师,海外用户运营（印尼语）","本科, 硕士, 博士",部分岗位有笔试部分没有,/,/,广州 | 中山,2026届 | 2027届,2026-03-10,民企,,2026-03-10,互联网 | 游戏,招满为止,春招,,公告,,投递
聚芯微电子,,"模拟IC设计工程师,数字IC设计工程师,数字IC验证工程师,FPGA工程师,系统架构师,MEMS设计研发工程师,版图设计工程师,声学信号处理算法工程师,AI算法工程师,自动控制算法工程师,图像算法工程......","本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,北京 | 上海 | 苏州 | 武汉 | 深圳 | 海外,2026届,2026-03-11,民企,,2026-03-11,科技,招满为止,春招,,公告,,投递
记忆科技,,硬件设计岗硬件测试岗 封装工艺研发岗软件开发岗芯片研发岗,"本科, 硕士, 博士",免笔试（部分岗位）,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,东莞 | 成都 | 上海 | 苏州,2026届,2026-03-17,民企,,2026-03-17,电子/半导体,招满为止,春招,,https://mp.weixin.qq.com/s/9bxQOPwAyzhLR5q9YAA22Q,,https://ramaxel.zhiye.com/campus/jobs
山东鲁辰泵业有限公司,,销售培训生;生产培训生;技术培训生,"本科, 硕士, 博士",/,/,/,淄博 | 随州,2026届,2026-01-04,民企,,,机械/制造业,尽快投递,春招专场,,https://www.offerleida.com/detail?id=34654,,投递邮箱： | luchen@luchenpump.com
大众集团战略咨询,,咨询顾问（专业不限）,"本科, 硕士, 博士",/,/,/,北京,2026届,2026-02-09,外企,,2026-02-09,外企 | 新能源,招满为止,春招专场,,https://mp.weixin.qq.com/s/GveZZwsjt6zbra6qeEzfMQ,,https://mp.weixin.qq.com/s/GveZZwsjt6zbra6qeEzfMQ
科百特过滤器材,,销售工程师(微电子);海外销售工程师;销售工程师(生命科学);机械研发工程师;光学分析工程师;专利情报工程师;电气工程师;嵌入式软硬件工程师;材料研发工程师;应用研发工程师;分析研发工程师;视觉工程师......,"本科, 硕士, 博士",/,/,/,杭州,2026届,2026-02-09,民企,,2026-02-09,制造-机械,招满为止,春招,,公告,,投递
汉德车桥,,"新能源产品工艺工程师,质量工程师,SQE,售后技术支持工程师,传统产品工艺工程师,客户经理,交付与服务经理,设备技术,生产统计,生产调度,计划调度,车间主任,自动化线操作工,产品试验工（电气类、控制类......","本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,西安 | 铜川 | 宝鸡,2024届 | 2025届 | 2026届,2026-03-09,央国企,,2026-03-09,其他,招满为止,春招,,公告,,投递
华砺智行,,硬件产品经理Linux驱动工程师 嵌入式软件工程师算法工程师 高级销售经理,"本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,武汉,2026届,2026-03-13,民企,,2026-03-13,车企/汽车零部件,招满为止,春招,,公告,,投递
联想集团,,技术方向 产品与项目方向 市场与销售方向 供应链方向 设计方向 职能方向,"本科, 硕士, 博士",所有岗位需笔试 | 技术岗额外加试,/,/,全国,2026届 | 2027届,2026-03-12,民企,,2026-03-12,其他 | 科技,招满为止,春招 | 实习,,公告,,投递
博达科技,,管培生(海外销售管理海外商务管理海外清关管理);校招生:海外财务管理海外物流管理海外工厂管理(日化)审计稽核,"本科, 硕士, 博士",有笔试,/,/,佛山 | 海外,2025届 | 2026届,2026-03-15,民企,,2026-03-15,进出口贸易/供应链,招满为止,春招,,https://mp.weixin.qq.com/s/MOQ2orHMGMHj2cSxwp-Ixw?click_id=4&scene=1,,http://job.bordar.cn:9002/#/
张仲景大药房,,"管培生,储备店长（医药类、营销类、管理类、电子商务类、新闻类、新媒体运营、室内设计类）","本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,漠河 | 郑州 | 三亚,2025届 | 2026届,2026-03-10,民企,,2026-03-10,生物医药,招满为止,春招,,公告,,投递
思泰克,,"技术服务工程师,FAE（现场应用工程师）,测试工程师,销售工程师,服务部助理,AI工程师（应用）,传统图像算法工程师（SMT、自动化、机械、电子、计算机、仪表仪器、人工智能、电子工程、机电、通信、市场......","本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,上海 | 苏州 | 昆山 | 厦门 | 深圳,2026届,2026-03-12,民企,,2026-03-12,科技,招满为止,春招,,公告,,投递
普华永道,,审计及鉴证服务税务服务咨询服务,"本科, 硕士, 博士",有笔试,/,/,香港 | 上海 | 北京 | 深圳 | 广州 | 澳门 | 杭州 | 成都 | 武汉 | 苏州 | 珠海 | 天津 | 厦门 | 南京 | 大连 | 青岛,2025届 | 2026届,2026-03-14,外企,,2026-03-14,商务服务/咨询,招满为止,春招,,https://mp.weixin.qq.com/s/gD3nfQmSyVaS8-R24v9Xjw,,https://app.mokahr.com/campus-recruitment/pwc/148260?sessionid=&sourceToken=cd0103cc80084ad7f90609eded20c7d9#/
极飞科技,,算法类软件类产品&机械类硬件类自动化类品牌类销售支持类售后技术类;,"本科, 硕士, 博士",含免笔试,/,/,广州 | 东莞,2026届,2026-03-14,民企,,2026-03-14,智能硬件/机器人,招满为止,春招,,https://mp.weixin.qq.com/s/gkR9-csTjPO_f5KHAUYBCg,,https://zhaopin.xa.com/campus/jobs
柳工机械-挖掘机专场,,钢结构工程师 动力工程师 液压工程师试验工程师HSE工程师 质量工程师工艺工程师信用管理专员二手机销售专贝,"本科, 硕士, 博士",有笔试,/,/,柳州,2026届,2026-03-16,央国企,,2026-03-16,机械装备/电气系统,招满为止,春招,,https://mp.weixin.qq.com/s/xZb7Ua6dsywR_soWJzMKAw,,https://wecruit.hotjob.cn/SU6132f9c3bef57c3b637ddf32/mc/position/campus?orgCode=0/17
好老师,,职教管培生,"本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,重庆,2026届,2026-03-17,民企,,2026-03-17,教育培训/在线教育,招满为止,春招,,https://mp.weixin.qq.com/s/0TYdpQVWEz5vhwbCiBtpQA,,https://hiteacher.zhiye.com/campus/jobs
博睿兴远,,海外管培生,"本科, 硕士, 博士",/,/,/,北京 | 全国多地,2026届,2026-01-03,民企,,,商务服务业,尽快投递,春招专场,,https://www.offerleida.com/detail?id=34588,,投递邮箱: | hr@epicorporation.com
安驰控制,,软件工程师 硬件工程师 测试工程师 资料开发工程师销售工程师技术支持工程师商务专员招聘专员,"本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,苏州,2026届,2026-03-04,民企,,2026-03-04,机械装备/电气系统,招满为止,春招,,公告,,投递
安徽交控资源公司,,党建宣传岗；工程技术岗,"硕士, 博士",有笔试,党建宣传岗：哲学类、历史学类、管理学类、文学类、法学类学科门类专业；工程技术岗：电力电子与电力系统及其自动化、电气工程、电力传动、新能源动力、储能技术、清洁能源技术等相关专业,招聘工作严格按照安徽省交通控股集团有限公司及安徽交控资源有限公司招聘管理办法、招聘方案执行，招聘过程严格执行组织人事纪律和员工招聘回避制度，接受纪检监察等部门监督。,合肥,2026届,2026-01-06,央国企,,,交通/物流/仓储,2026-01-15,春招专场,,https://www.offerleida.com/detail?id=34710,,https://hr.ahjkjt.com/zp.html#/channel/01
君乐宝,,人力实习生,"本科, 硕士, 博士",/,/,/,石家庄,2026届,2026-02-09,民企,,2026-02-09,消费,招满为止,实习,,公告,,投递
江西江铃进出口有限责任公司,,海外销售工程师，汽车服务工程师（车辆类，机械类，小语种类，国贸类）,"本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,南昌,2026届,2026-03-05,央国企,,2026-03-05,新能源,招满为止,春招,,公告,,投递
长光辰芯,,模拟电路设计工程师 FPGA工程师 硬件工程师 像素设计工程师 数字验证工程师数字前端工程师 模拟版图工程师 产品验证工程师图像算法工程师系统测试工程师 上位机软件工程师可靠性测,"本科, 硕士, 博士",有笔试,/,/,长春 | 杭州 | 大连 | 日本,2026届,2026-03-14,民企,,2026-03-14,电子/半导体,招满为止,春招,,https://mp.weixin.qq.com/s/WLBhdvvi3U6TeFw6W5nRfQ,,https://mp.weixin.qq.com/s/WLBhdvvi3U6TeFw6W5nRfQ
FMC,,"猎头顾问管培生,实习生（专业不限）","本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,北京 | 上海 | 苏州 | 宁波 | 广州 | 深圳 | 成都,2026届 | 2027届,2026-03-17,民企,,2026-03-17,专业服务,招满为止,春招 | 实习,,https://mp.weixin.qq.com/s/qbuHxll6Nzn9hLaSJ8M7RA,,https://www.fmces.com/candidate
西安导引科技有限责任公司,,"光电探测系统工程师,图像信号处理算法工程师,嵌入式软件开发工程师,伺服控制算法工程师,雷达信号处理工程师,FPGA开发工程师,硬件工程师,雷达信处算法工程师,雷达信处嵌入式开发工程师,图像嵌入式开发工......","本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,西安,2026届,2026-03-17,央国企,,2026-03-17,国企,招满为止,春招,,http://mp.weixin.qq.com/s?__biz=MzUzODUwMjk0Mw==&mid=2247490352&idx=1&sn=728908f805f39be790478ee3efa5a612&chksm=fad7e940cda060564b6a3bd82c15d204757ea64c98c685d22c569afeefb232b2ac7023fb3580#rd,,http://mp.weixin.qq.com/s?__biz=MzUzODUwMjk0Mw==&mid=2247490352&idx=1&sn=728908f805f39be790478ee3efa5a612&chksm=fad7e940cda060564b6a3bd82c15d204757ea64c98c685d22c569afeefb232b2ac7023fb3580#rd
西大华特,,业务(销售市场)技术(产品开发化学工艺)职能(供应链后勤保障)供应链(生产技术 生产工艺设备设施),"本科, 硕士, 博士",含免笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,西安,2026届,2026-03-18,民企,,2026-03-18,农林/畜牧,招满为止,春招,,https://mp.weixin.qq.com/s/qXgt-wJe0Isp7lNok9OCHg,,https://mp.weixin.qq.com/s/qXgt-wJe0Isp7lNok9OCHg
中国航空制造技术研究院,,"焊接技术,特种加工技术,表面工程技术,增材制造技术,装配技术,机械加工技术,塑性加工技术,数字化制造技术,高能激光技术（光、机、电、热管理）,高能微波技术,光电感知AI+技术,装备系统工程技术,特种功......","本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,北京,2026届,2026-03-18,央国企,,2026-03-18,国企,招满为止,春招,,https://mp.weixin.qq.com/s/ZOOAsXVjRQQRTwAsLZHt9g,,https://avicmti.zhiye.com/campus
中国烟草总公司青州中等专业学校,,高校毕业生招聘（具体岗位详见山东省烟草专卖局（公司）招聘网页）,"本科, 硕士, 博士",有笔试,/,不收取费用，谨防诈骗,潍坊,2026届,2026-01-08,央国企,,,教育/培训/科研,2026-01-19,春招专场,,https://www.offerleida.com/detail?id=34826,,https://vip.liepin.com/sd.tobacco
安徽信盟装备股份有限公司,,设计工程师（发泡设计组、吸塑设计组、液压设计组）;电气工程师;内贸业务员;外贸业务员;高级装配（电工）;高级装配（钳工）;数控CNC;采购经理;财务助理;文职类（人事/行政/生产）;检验员,"本科, 硕士, 博士",/,机械设计制造及其自动化、材料成型及其控制工程、工业设计等专业（各岗位专业要求见对应岗位描述）,/,滁州,2026届,2026-01-04,民企,,,机械/制造业,尽快投递,春招专场,,https://www.offerleida.com/detail?id=34624,,投递邮箱： | 842749418@qq.com
浙江大学艺术与考古博物馆,,宣传实习生;教育实习生;公众服务实习生,"本科, 硕士, 博士",/,/,/,杭州,2026 | 2027 | 2028届,2026-01-25,事业单位,,,教育/培训/科研,2026-02-22,寒假实习,,https://www.offerleida.com/detail?id=35235,,投递邮箱：  | pelinlyu@zju.edu.cn
方田教育,,人才发展专员,"本科, 硕士, 博士",/,/,/,上海,2026届 | 2027届,2026-02-25,民企,,2026-02-25,教育,招满为止,春招,,公告,,投递
中国航天科工集团第六研究院,,涉及航空宇航科学与技术、动力工程、机械工程、材料科学与工程、化学、控制科学与工程等专业,"本科, 硕士, 博士",部分岗位有笔试部分没有,/,/,内蒙古呼和浩特陕西西安湖北远安,2026届,2026-03-13,央国企,,2026-03-13,高端装备与国防科技/航空航天,招满为止,春招,,公告,,投递
联想集团,,技术方向 产品与项目方向 市场与销售方向 供应链方向 设计方向 职能方向,"本科, 硕士, 博士",所有岗位需笔试 | 技术岗额外加试,/,/,全国,2026届 | 2027届,2026-03-12,民企,,2026-03-12,其他 | 科技,招满为止,春招 | 实习,,公告,,投递
河北建投集团,,技术类工程类财务类职能类等专业,"本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,河北 | 内,2025届 | 2026届,2026-03-21,央国企,,2026-03-20,建筑地产/市政工程,2026/4/18,春招,,https://mp.weixin.qq.com/s/cVPUoTF6Wgap8F_HRnC2iA,,https://hecic2026.zhaopin.com/jobs2/index.html
浙江六和律师事务所,,"律师助理,助理律师,独立律师,团队律师,合伙人,高级合伙人","本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,杭州 | 宁波 | 温州 | 嘉兴 | 湖州 | 绍兴 | 义乌 | 衢州 | 舟山,2026届,2026-03-22,民企,,2026-03-22,专业服务,招满为止,春招,,http://mp.weixin.qq.com/s?__biz=MzA5NTQ1MzEwOQ==&mid=2651541884&idx=1&sn=5d70acf485144ac479f3af39b263a597&chksm=8b40dba6bc3752b095569ed6f26083b211c477c894a4e2ac74ccc3f29ead8f5a5fc74141bac0#rd,,http://mp.weixin.qq.com/s?__biz=MzA5NTQ1MzEwOQ==&mid=2651541884&idx=1&sn=5d70acf485144ac479f3af39b263a597&chksm=8b40dba6bc3752b095569ed6f26083b211c477c894a4e2ac74ccc3f29ead8f5a5fc74141bac0#rd
哈药集团,,"生产类,研发类,营销类,其他职能","本科, 硕士, 博士",未明确 | 不清楚是否有笔试,/,/,北京 | 哈尔滨 | 鹤岗 | 绥化 | 杭州 | 武汉 | 成都 | 西安 | 全国,2026届,2026-03-10,民企,,2026-03-10,生物医药,招满为止,春招,,公告,,投递
腾讯混元,,数据运营专家（专业要求：社会学、统计学、人工智能、语言学、中文、心理学、专业不限、计算机、英语、医学、数学、物理、化学、生物、历史、地理、影视制作、数字媒体艺术、视觉传达设计、动画、计算机图形学、汉语......,"本科, 硕士, 博士",部分岗位有笔试部分没有,/,/,北京 | 上海 | 杭州 | 深圳 | 海外,2026届,2026-03-11,民企,,2026-03-11,互联网,招满为止,春招,,公告,,投递
中证信用,,"金融项目管理岗,评级项目管理岗,产品销售岗,咨询业务岗,大模型算法岗,项目助理岗,前/后端开发岗,量化分析岗,产品岗,分析师,研究员,投研助理,风控岗,人力资源岗","本科, 硕士, 博士",免笔试（部分岗位）,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,北京 | 上海 | 南京 | 济南 | 武汉 | 长沙 | 深圳 | 重庆 | 成都,2026届 | 2027届,2026-03-17,民企,,2026-03-17,银行/金融,招满为止,春招 | 实习,,https://mp.weixin.qq.com/s/hg5-4_l-O9OtXmXmFydr8Q,,https://wecruit.hotjob.cn/SU608927e8bef57c312fb168db/mc/position/campus?t=1773799785072
SHEIN,,仓储管理储备干部,"大专, 本科, 硕士, 博士",/,/,/,佛山 | 江门 | 肇庆 | 重庆,2026届,2026-01-08,民企,,,贸易/批发/零售,尽快投递,春招专场,,https://www.offerleida.com/detail?id=34835,,https://app.mokahr.com/campus_apply/shein/2932?sourceToken=8335606aa0a61332417b43ef8cea9437#/job/d2768540-8185-43ba-9d4d-31446a636282?from=qrcode
京东-TET管理培训生,,TET管理培训生:综合方向、物流方向、技术方向、产品方向;,"本科, 硕士, 博士",部分岗位有笔试部分没有,/,/,北京,2026届,2026-02-26,民企,,2026-02-26,互联网/人工智能,招满为止,春招,,公告,,投递
漫修律所,,精英青年律师、实习人员,"本科, 硕士, 博士",含免笔试,/,/,上海 | 南京 | 无锡 | 江阴 | 宜兴 | 常州 | 苏州 | 张家港 | 昆山 | 扬州 | 镇江 | 泰州 | 海外,2026届,2026-03-15,民企,,2026-03-15,专业服务,招满为止,春招 | 实习,,http://mp.weixin.qq.com/s?__biz=MzkwOTQ5NzAyMg==&mid=2247539074&idx=1&sn=f2f6fc25aeefc9eaa625e420441a15b2&chksm=c13bde53f64c5745c2f9290faa3533630a011749c2a2aa33ee853f4ae24da606ba8ed7184b58#rd,,http://mp.weixin.qq.com/s?__biz=MzkwOTQ5NzAyMg==&mid=2247539074&idx=1&sn=f2f6fc25aeefc9eaa625e420441a15b2&chksm=c13bde53f64c5745c2f9290faa3533630a011749c2a2aa33ee853f4ae24da606ba8ed7184b58#rd
百事饮品,,百饮销售培训生项目(Sales Trainee,"本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,全国,2025届 | 2026届,2026-03-17,外企,,2026-03-17,快消零售/食品,招满为止,春招,,https://mp.weixin.qq.com/s/jMms-5P4r-sSYo7-5wT4FA?scene=1&click_id=43,,https://wecruit.hotjob.cn/SU6627817a1eb8053acd7be318/pb/school.html?currentPage=1
中国船舶七二六所,,"水声信号处理,硬件电路设计,无人平台设计,机械结构设计,嵌入式软件开发,人工智能开发,换能器设计,换能器工艺,调试及技术服务（专业要求：水声工程、信号与信息处理、电子信息、电气工程、声学、化工、材料、......","本科, 硕士, 博士",有笔试,按照岗位筛选，不清楚专业对应岗位的看必看文档的第八点哦 宝宝~,/,上海,2026届,2026-03-18,央国企,,2026-03-18,国企,招满为止,春招,,https://mp.weixin.qq.com/s/BLUnoAO7E1cx-w1lNjgXUQ,,https://mp.weixin.qq.com/s/BLUnoAO7E1cx-w1lNjgXUQ
